INFO verified graph-msw-tu50.bin sha 43dd82bb3771…
INFO read 75000 payloads (read-only)
INFO known after drops: 59277 (excluded 15751)
INFO pre-cap directed edges: 3104719
INFO gate: {"reconstructed_edges": 657842, "served_artifact_edges": 657842, "in_both": 657842, "only_in_reconstruction": 0, "only_in_served_artifact": 0, "exact": true, "agreement": 1.0, "red_stages_are_distinct": true}

gate exact=True agreement=1.0 red=True
     band  artists    archive  top-j died  trim died   survived   %topj   %trim
  0.0-0.1    5,982    139,420      30,324     60,417     48,679  21.75%  43.34%
  0.1-0.2    5,877    152,202      22,452     62,650     67,100  14.75%  41.16%
  0.2-0.3    5,863    217,619      43,474     87,824     86,321  19.98%  40.36%
  0.3-0.4    5,870    264,215      60,565    101,405    102,245  22.92%  38.38%
  0.4-0.5    5,876    310,755      74,262    118,471    118,022  23.90%  38.12%
  0.5-0.6    5,877    367,082      89,332    144,485    133,265  24.34%  39.36%
  0.6-0.7    5,869    445,874     119,858    171,478    154,538  26.88%  38.46%
  0.7-0.8    5,874    558,922     167,785    214,514    176,623  30.02%  38.38%
  0.8-0.9    5,875    718,228     233,510    285,097    199,621  32.51%  39.69%
  0.9-1.0    5,875  1,667,621     611,152    827,199    229,270  36.65%  49.60%
