mbid	band	fame_lb_raw
00077d46-7b4a-4761-9eed-c7dd435fa5ff	0	108
000b1990-4dd8-4835-abcd-bb6038c13ac7	4	20468
000d90ec-d64c-48a1-b775-e726fd240e9f	4	36648
0053dbd9-bfbc-4e38-9f08-66a27d914c38	4	77929
006631f4-5214-49ff-a386-a064853d1a1e	3	5885
007dbf51-6ee0-4038-8e90-94a954e25ca3	4	20487
008ef761-5d59-4c36-bfe9-8cd95b4e2ff6	0	73
00924869-ef61-449d-8dcc-babbb82bdc5f	2	2263
009a7dd6-1893-413e-a0f8-fb7b5b4953c8	0	74
00c09829-720b-4fc8-a990-78c8cf205ebe	0	235
00f5ac71-f425-4cc5-8d7b-5ec1f67dfdb2	0	224
00f6b815-8ee6-4c23-b157-18fe3506a186	2	1510
0119017b-81c0-436c-b5e5-332afe8c2e02	4	24042
012e3432-71d3-4317-9ce5-b60cb6cdc38f	4	104504
012f2687-b9e8-400e-838d-d96707ea3a5e	4	18833
01313a9c-158a-4470-9bce-a524b68c8828	0	332
0136de92-264c-4e22-b3df-647b2cc8ce97	2	2477
01480dd6-1767-4a30-9702-2a0bd82f786d	3	3847
01567632-12c1-496c-8499-7151b1552892	2	2747
01573ccf-edf6-4eea-b52e-a9b8e4cb8346	0	165
0161213b-0461-4d0d-990a-3331c51ffcf6	4	24506
016eb522-88ac-445a-be91-b50d0ca98e24	2	1548
01830cc1-8a04-4dfb-9e4a-d557dfda6a93	3	8496
01a21615-7fdf-4fa5-afbd-dbc58c766977	4	17927
01a24e55-f289-4b60-b015-37640307a730	1	1029
01ab4385-20c2-43bd-bd52-a232a05542cc	0	308
01b8b5bf-06cb-45da-85fb-61ada72fcd69	4	14734
01bbcfe5-9ba5-4ab5-b246-dd2511fc0ad5	3	5224
01ceb7bc-d36a-45e9-8011-ce26bc586c3a	1	1062
01ddade0-d610-4728-ad40-b2786ffcc1c9	1	1372
01e708f5-bb89-44b5-84db-df544cff636d	4	17597
01f94ec3-536a-4461-9621-82628247cd06	1	1062
01fb9ab7-c2b3-44eb-9956-d640ca385295	1	530
0211a7f3-a769-4f36-aa8c-030e62ad6b18	1	691
021c2f50-98bf-48f5-b664-a118a99215f6	4	11149
